Wall time,Step,Value
1590140445.337566,18,7.904325485229492
1590140445.385599,24,6.803333282470703
1590140446.247547,40,6.164822578430176
1590140446.384634,42,5.625105381011963
1590140446.554092,45,5.731354713439941
1590140447.253607,56,6.6047539710998535
1590140448.226297,71,7.479515075683594
1590140448.448247,74,7.328604221343994
1590140449.787658,94,7.451165199279785
1590140450.602682,106,8.802323341369629
1590140451.874872,126,14.253745079040527
1590140453.587605,155,18.847623825073242
1590140453.75823,158,19.348224639892578
1590140454.274181,167,18.398977279663086
1590140455.240428,183,21.82444190979004
1590140455.3877,185,20.621227264404297
1590140458.136335,229,14.591458320617676
1590140458.442644,234,14.414034843444824
1590140459.367541,249,10.551494598388672
1590140459.682775,255,11.788891792297363
1590140460.053492,260,12.117036819458008
1590140460.678735,267,13.599910736083984
1590140461.095982,273,12.476545333862305
1590140463.482686,308,17.714445114135742
1590140463.579287,310,17.966516494750977
1590140464.128232,318,17.696128845214844
1590140465.485142,339,17.088481903076172
1590140465.984346,347,18.89980125427246
1590140467.512842,367,17.247966766357422
1590140470.745909,421,14.561980247497559
1590140470.798393,422,13.993642807006836
1590140471.786708,439,14.853045463562012
1590140471.979076,442,14.886116027832031
1590140472.195223,445,14.446844100952148
1590140473.062447,460,14.431853294372559
1590140473.179458,463,15.031585693359375
1590140473.249242,464,15.34593677520752
1590140473.889838,474,17.491870880126953
1590140474.923447,493,18.81046485900879
1590140476.547219,514,13.13554859161377
1590140477.431869,531,14.801106452941895
1590140477.725529,536,14.113372802734375
1590140479.653333,563,13.790867805480957
1590140480.270619,573,11.900925636291504
1590140480.629114,579,12.680360794067383
1590140481.139672,586,11.315174102783203
1590140481.220511,587,11.013737678527832
1590140483.496144,620,14.669769287109375
1590140483.617822,622,14.597662925720215
1590140484.451765,634,13.246496200561523
1590140484.987509,641,12.412891387939453
1590140485.017383,642,12.003396034240723
1590140485.098695,644,12.950645446777344
1590140485.29932,647,12.400090217590332
1590140485.384508,649,13.837038040161133
1590140486.314893,661,15.00682258605957
1590140486.901373,671,16.101999282836914
1590140490.039506,714,14.163079261779785
1590140490.567491,722,15.575555801391602
1590140491.223718,730,16.10610008239746
1590140491.842163,739,17.36693572998047
1590140492.559042,752,17.272796630859375
1590140492.86344,756,17.374053955078125
1590140493.373344,765,19.32624053955078
1590140493.763794,769,19.29087257385254
1590140493.885722,771,19.57318115234375
1590140494.00627,773,19.539880752563477
1590140494.39824,780,20.21520233154297
1590140494.874834,785,20.62390899658203
1590140495.074626,787,20.34403419494629
1590140495.38372,792,20.168352127075195
1590140495.545073,794,19.628990173339844
1590140495.901304,798,17.72136688232422
1590140496.206346,802,17.764787673950195
1590140496.552763,808,17.663145065307617
1590140496.586314,809,17.84454917907715
1590140498.239,832,18.28506088256836
1590140498.541451,836,18.71222686767578
1590140501.074883,869,15.527908325195312
1590140501.589006,876,12.836688995361328
1590140501.907635,882,12.552216529846191
1590140502.862739,896,14.324854850769043
1590140503.116605,900,15.491537094116211
1590140503.484017,907,15.534367561340332
1590140503.589483,909,15.310153007507324
1590140504.040142,917,15.744736671447754
1590140504.872631,931,17.21199607849121
1590140504.929278,932,16.805416107177734
1590140505.809405,942,13.967629432678223
1590140506.040007,945,14.07863712310791
1590140506.576172,954,14.54963493347168
1590140507.073385,962,17.125835418701172
1590140507.585325,971,19.263940811157227
1590140507.624995,972,19.94407844543457
1590140508.007152,978,21.765708923339844
1590140508.099375,979,21.261035919189453
